"MBOAT2"
"CBLL1"
"SLC2A3"
"BARD1"
"TMCC3"
"ERRFI1"
"FKBP5///LOC285847///FKBP5"
"RHOU"
"PGC"
"SI"
"HOMER2"
"PAK1IP1"
"GREB1"
"PMEPA1"
"ELL2"
"NR4A1"
"ELL2"
"C19orf48"
"MPC2"
"ELOVL5"
"SNAI2"
"ABCC1"
"NNMT"
"STEAP4"
"SOCS2"
"SLC35F2"
"KLK2"
"UAP1"
"ACSM1"
"KCNMA1"
"KRT8"
"MAK"
"PPM1K"
"STK39"
""
"MICAL1"
"EDEM3"
"MERTK"
"ODC1"
"HMGCS1"
"GADD45G"
"ADD3"
"ZBTB16"
"MIR622///KRT18"
""
"CYB561A3"
"SLC44A1"
"GNMT"
"ALDH1A3"
"DHCR24"
"NUAK2"
"PART1"
"ANKRD37"
"CENPN"
"EPS8"
"PDLIM5"
"CAP2"
"FUT8"
"ACSL3"
""
"PER1"
"SIDT1"
"ATP11A"
"ATP1A1"
"KLK4"
"NAPEPLD"
"ST6GALNAC1"
"NDRG1"
"ST6GALNAC1"
"MIR153-2"
"HMGXB3"
""
"IGF1R"
"PFKFB2"
"PTPRN2"
"IDI1"
"CSGALNACT1"
"ABCA12"
"HPGD"
"CDK1"
"CHRNA2"
"RAB3B"
"FBXW2"
"HIST1H2AJ"
"AAK1"
"SRPX"
"TRIM49D2///TRIM49D1///TRIM48"
"TRIM49D2///TRIM49D1///TRIM48"
"LUZP2"
"STK17B"
"SLC26A3"
"ABCC4"
"PER3"
"MYBPC1"
"KDM4B"
"KLKP1"
"FAM103A1"
"SPRY1"
"FASN"
"NEDD4L"
"SHROOM3"
"WIPI1"
"CHKA"
"CAMKK2"
"XRCC2"
"IGF1R"
"MALL"
"KRT18"
"DNAJB9"
"CBLN2"
"SESN3"
"TICRR"
"ARMC12"
"ABHD3"
"WWC1"
"KLK3"
"ZNF350"
"CAPZB"
"TRDN"
"NIPSNAP3A"
"ABHD2"
"TNFRSF10B"
"RNF43"
"OTULIN"
"HIST1H3A"
"EPHA6"
"EMP1"
"KRT18"
"SLC30A10"
"SEMA6A"
"AAK1"
"MCM4"
"SORL1"
"THNSL1"
"FOXG1"
"ATG101"
